,artist,track,date_entered,wk,rank
0,2 Pac,Baby Don't Cry (Keep...,2000-02-26,1,87.0
317,2 Pac,Baby Don't Cry (Keep...,2000-02-26,2,82.0
634,2 Pac,Baby Don't Cry (Keep...,2000-02-26,3,72.0
951,2 Pac,Baby Don't Cry (Keep...,2000-02-26,4,77.0
1268,2 Pac,Baby Don't Cry (Keep...,2000-02-26,5,87.0
1585,2 Pac,Baby Don't Cry (Keep...,2000-02-26,6,94.0
1902,2 Pac,Baby Don't Cry (Keep...,2000-02-26,7,99.0
1,2Ge+her,The Hardest Part Of ...,2000-09-02,1,91.0
318,2Ge+her,The Hardest Part Of ...,2000-09-02,2,87.0
635,2Ge+her,The Hardest Part Of ...,2000-09-02,3,92.0
2,3 Doors Down,Kryptonite,2000-04-08,1,81.0
319,3 Doors Down,Kryptonite,2000-04-08,2,70.0
636,3 Doors Down,Kryptonite,2000-04-08,3,68.0
953,3 Doors Down,Kryptonite,2000-04-08,4,67.0
1270,3 Doors Down,Kryptonite,2000-04-08,5,66.0
1587,3 Doors Down,Kryptonite,2000-04-08,6,57.0
1904,3 Doors Down,Kryptonite,2000-04-08,7,54.0
2221,3 Doors Down,Kryptonite,2000-04-08,8,53.0
2538,3 Doors Down,Kryptonite,2000-04-08,9,51.0
2855,3 Doors Down,Kryptonite,2000-04-08,10,51.0
3172,3 Doors Down,Kryptonite,2000-04-08,11,51.0
3489,3 Doors Down,Kryptonite,2000-04-08,12,51.0
3806,3 Doors Down,Kryptonite,2000-04-08,13,47.0
4123,3 Doors Down,Kryptonite,2000-04-08,14,44.0
4440,3 Doors Down,Kryptonite,2000-04-08,15,38.0
4757,3 Doors Down,Kryptonite,2000-04-08,16,28.0
5074,3 Doors Down,Kryptonite,2000-04-08,17,22.0
5391,3 Doors Down,Kryptonite,2000-04-08,18,18.0
5708,3 Doors Down,Kryptonite,2000-04-08,19,18.0
6025,3 Doors Down,Kryptonite,2000-04-08,20,14.0
6342,3 Doors Down,Kryptonite,2000-04-08,21,12.0
6659,3 Doors Down,Kryptonite,2000-04-08,22,7.0
6976,3 Doors Down,Kryptonite,2000-04-08,23,6.0
7293,3 Doors Down,Kryptonite,2000-04-08,24,6.0
7610,3 Doors Down,Kryptonite,2000-04-08,25,6.0
7927,3 Doors Down,Kryptonite,2000-04-08,26,5.0
8244,3 Doors Down,Kryptonite,2000-04-08,27,5.0
8561,3 Doors Down,Kryptonite,2000-04-08,28,4.0
8878,3 Doors Down,Kryptonite,2000-04-08,29,4.0
9195,3 Doors Down,Kryptonite,2000-04-08,30,4.0
9512,3 Doors Down,Kryptonite,2000-04-08,31,4.0
9829,3 Doors Down,Kryptonite,2000-04-08,32,3.0
10146,3 Doors Down,Kryptonite,2000-04-08,33,3.0
10463,3 Doors Down,Kryptonite,2000-04-08,34,3.0
10780,3 Doors Down,Kryptonite,2000-04-08,35,4.0
11097,3 Doors Down,Kryptonite,2000-04-08,36,5.0
11414,3 Doors Down,Kryptonite,2000-04-08,37,5.0
11731,3 Doors Down,Kryptonite,2000-04-08,38,9.0
12048,3 Doors Down,Kryptonite,2000-04-08,39,9.0
12365,3 Doors Down,Kryptonite,2000-04-08,40,15.0
12682,3 Doors Down,Kryptonite,2000-04-08,41,14.0
12999,3 Doors Down,Kryptonite,2000-04-08,42,13.0
13316,3 Doors Down,Kryptonite,2000-04-08,43,14.0
13633,3 Doors Down,Kryptonite,2000-04-08,44,16.0
13950,3 Doors Down,Kryptonite,2000-04-08,45,17.0
14267,3 Doors Down,Kryptonite,2000-04-08,46,21.0
14584,3 Doors Down,Kryptonite,2000-04-08,47,22.0
14901,3 Doors Down,Kryptonite,2000-04-08,48,24.0
15218,3 Doors Down,Kryptonite,2000-04-08,49,28.0
15535,3 Doors Down,Kryptonite,2000-04-08,50,33.0
15852,3 Doors Down,Kryptonite,2000-04-08,51,42.0
16169,3 Doors Down,Kryptonite,2000-04-08,52,42.0
16486,3 Doors Down,Kryptonite,2000-04-08,53,49.0
3,3 Doors Down,Loser,2000-10-21,1,76.0
320,3 Doors Down,Loser,2000-10-21,2,76.0
637,3 Doors Down,Loser,2000-10-21,3,72.0
954,3 Doors Down,Loser,2000-10-21,4,69.0
1271,3 Doors Down,Loser,2000-10-21,5,67.0
1588,3 Doors Down,Loser,2000-10-21,6,65.0
1905,3 Doors Down,Loser,2000-10-21,7,55.0
2222,3 Doors Down,Loser,2000-10-21,8,59.0
