country_name,country_code,year,CO2,GDP,child_mortality,life_exp,literacy,mortality,polution,pop,country,region,log_gdp,log_child_mortality
Afghanistan,AFG,2020,,553.036478884366,58.0,62.575,,,,38972230.0,Afghanistan,South Asia,6.315423964779561,4.060443010546419
Albania,ALB,2020,,4410.45516523171,9.8,76.989,,,,2837849.0,Albania,Europe & Central Asia,8.391733175185575,2.2823823856765264
Algeria,DZA,2020,,3873.5100150745,22.7,74.453,,,,43451666.0,Algeria,Middle East & North Africa,8.261916355604823,3.122364924487357
American Samoa,ASM,2020,,14303.6270325756,,,,,,46189.0,American Samoa,East Asia & Pacific,9.568268422728806,
Andorra,AND,2020,,34394.2775534697,2.5,,,,,77700.0,Andorra,Europe & Central Asia,10.445645479333928,0.9162907318741551
Angola,AGO,2020,,2347.78703247628,71.5,62.261,,,,33428486.0,Angola,Sub-Saharan Africa,7.761228475163251,4.269697449699962
Antigua and Barbuda,ATG,2020,,14040.3675461654,6.4,78.841,,,,92664.0,Antigua and Barbuda,Latin America & Caribbean,9.54969185573896,1.8562979903656263
Argentina,ARG,2020,,11341.2683655863,8.6,75.892,,,,45376763.0,Argentina,Latin America & Caribbean,9.336203419844265,2.151762203259462
Armenia,ARM,2020,,4256.13129015707,10.9,72.173,99.8973617553711,,,2805608.0,Armenia,Europe & Central Asia,8.356115878796874,2.388762789235098
Aruba,ABW,2020,,25823.634823564,,75.723,99.4100036621094,,,106585.0,Aruba,Latin America & Caribbean,10.159045429998656,
Australia,AUS,2020,,58117.4520268812,3.7,83.2,,,,25655289.0,Australia,East Asia & Pacific,10.970221276855385,1.308332819650179
Austria,AUT,2020,,43455.7000665738,3.6,81.1926829268293,,,,8916864.0,Austria,Europe & Central Asia,10.679497308891921,1.2809338454620642
Azerbaijan,AZE,2020,,5083.3816401988,19.4,66.868,,,,10093121.0,Azerbaijan,Europe & Central Asia,8.533731996312223,2.9652730660692823
"Bahamas, The",BHS,2020,,23566.5753253459,12.3,72.677,,,,406471.0,The Bahamas,Latin America & Caribbean,10.067584687339703,2.509599262378372
Bahrain,BHR,2020,,22510.4040791872,6.8,79.174,,,,1477469.0,Bahrain,Middle East & North Africa,10.02173288483638,1.916922612182061
Bangladesh,BGD,2020,,1593.3483212523,29.1,71.968,95.8587493896484,,,167420951.0,Bangladesh,South Asia,7.373592943416853,3.370738174177447
Barbados,BRB,2020,,14855.6898587069,12.2,77.393,,,,280693.0,Barbados,Latin America & Caribbean,9.606138226314012,2.501435951739211
Belarus,BLR,2020,,6247.43190947199,2.9,74.2268292682927,,,,9379952.0,Belarus,Europe & Central Asia,8.739925763805696,1.0647107369924282
Belgium,BEL,2020,,40612.3924560653,4.2,80.7951219512195,,,,11538604.0,Belgium,Europe & Central Asia,10.611828531923749,1.4350845252893227
Belize,BLZ,2020,,5040.12252132539,11.7,72.854,,,,394921.0,Belize,Latin America & Caribbean,8.52518567055672,2.4595888418037104
Benin,BEN,2020,,1164.70594618082,85.9,60.088,,,,12643123.0,Benin,Sub-Saharan Africa,7.060223927428123,4.45318382899021
Bermuda,BMU,2020,,99745.2416064214,,82.0560975609756,,,,63893.0,Bermuda,North America,11.510374630420506,
Bhutan,BTN,2020,,2878.43770450338,27.6,71.609,,,,772506.0,Bhutan,South Asia,7.9650029622292156,3.3178157727231046
Bolivia,BOL,2020,,2920.19744316688,25.4,64.467,99.5289611816406,,,11936162.0,Bolivia,Latin America & Caribbean,7.9794065104992695,3.2347491740244907
Bosnia and Herzegovina,BIH,2020,,5373.16875734591,5.7,76.225,,,,3318407.0,Bosnia and Herzegovina,Europe & Central Asia,8.589173098637954,1.7404661748405046
Botswana,BWA,2020,,5810.94830990799,44.8,65.647,,,,2546402.0,Botswana,Sub-Saharan Africa,8.667499056820947,3.8022081394209395
Brazil,BRA,2020,,8204.20272600881,14.7,74.009,,,,213196304.0,Brazil,Latin America & Caribbean,9.012401829517003,2.6878474937846906
British Virgin Islands,VGB,2020,,,,75.849,,,,30910.0,British Virgin Islands,Latin America & Caribbean,,
Brunei Darussalam,BRN,2020,,30402.0870578242,11.5,74.795,,,,441725.0,Brunei,East Asia & Pacific,10.32226653825569,2.4423470353692043
Bulgaria,BGR,2020,,7956.46908962689,6.1,73.6073170731707,,,,6934015.0,Bulgaria,Europe & Central Asia,8.981740598721796,1.8082887711792655
